state,month,death,positive,recovered
Alaska,March,0.5,52.6,0
Alaska,April,7.67,276.33,143.12
Alaska,May,9.84,395.74,330.26
Alaska,June,11.7,684.07,438.9
Alaska,July,18,1798.42,683.35
Alaska,August,29.42,4230.29,1522.16
Alaska,September,45.3,6508.1,2671.4
Alaska,October,65.06,10957.84,6213.94
Alaska,November,90.5,19660.78,7146.72
Alabama,March,1.76,225.6,0
Alabama,April,131.2,4096.73,0
Alabama,May,462.61,11858.13,8512.6
Alabama,June,789.83,26666.23,14563.7
Alabama,July,1239.87,61881.81,27883.81
Alabama,August,1898.61,108168.06,41791
Alabama,September,2380.6,140909.93,57810.67
Alabama,October,2743.26,171984.65,72944.16
Alabama,November,3134.44,207231.67,85280.5
Arkansas,March,3.4,144.58,22.71
Arkansas,April,32.97,1746.4,561.47
Arkansas,May,100.52,4806.9,3407.42
Arkansas,June,195.03,13289.93,8979.1
Arkansas,July,348.19,31220.26,24409.68
Arkansas,August,614.58,52661.97,45753.23
Arkansas,September,1080.03,72414.33,64470.63
Arkansas,October,1654.16,97552.74,87510.48
Arkansas,November,2105.5,124346.56,109006.94
Arizona,March,5.95,254.75,0
Arizona,April,159.73,4288.47,1053.29
Arizona,May,640.61,13455.13,3183.39
Arizona,June,1243.27,43075.27,6741.97
Arizona,July,2568.61,132356.23,16477.87
Arizona,August,4449.74,191941.87,27257.77
Arizona,September,5378.8,210657,33128.73
Arizona,October,5805.55,230358.32,38064.65
Arizona,November,6178.39,262932,43717.78
California,March,45.5,1616.5,0
California,April,956.4,26914.87,0
California,May,3152.87,77753.52,0
California,June,5131.47,158833.87,0
California,July,7398.77,360201.68,0
California,August,11149.94,609507.61,0
California,September,14512.3,761899.63,0
California,October,16798.77,863849.77,0
California,November,18002.56,978649.78,0
Colorado,March,17.26,666.32,0
Colorado,April,390.47,8810.43,2262.43
Colorado,May,1001.87,21363.39,3309.29
Colorado,June,1373.67,29562.23,4234.83
Colorado,July,1605.19,39151.65,4908
Colorado,August,1777.42,52817.26,5685.13
Colorado,September,1902.3,63216.13,6225.43
Colorado,October,2033.48,85088.42,7138.06
Colorado,November,2199.44,139718.56,8941.11
Connecticut,March,21.08,572.76,0
Connecticut,April,986.23,15477.4,0
Connecticut,May,3253.42,36225.29,5979
Connecticut,June,4179.93,44955.33,7667
Connecticut,July,4379.42,47860.48,8389.68
Connecticut,August,4451.61,51143.94,8801.97
Connecticut,September,4485.53,55044.13,9162.3
Connecticut,October,4551.74,63266.84,9615.06
Connecticut,November,4697.56,82891.89,9800
District of Columbia,March,3.23,107,69
District of Columbia,April,88.33,2365,493.57
District of Columbia,May,364.23,6934.26,943.45
District of Columbia,June,514.43,9727.6,1162.1
District of Columbia,July,571.97,11143.1,3777.52
District of Columbia,August,596.61,13156.42,10489.68
District of Columbia,September,617.2,14710.03,11670.57
District of Columbia,October,638.23,16247.03,12748.13
District of Columbia,November,654.61,18263.28,13920.89
Delaware,March,2.21,70.58,10.33
Delaware,April,84.57,2217.27,440.03
Delaware,May,364.84,7400.45,3379.97
Delaware,June,496.07,10420.03,6161.67
Delaware,July,534,13228.81,7344.74
Delaware,August,594.77,16240,8711.1
Delaware,September,619.07,19068.07,10124.17
Delaware,October,665.06,22792.19,11865.68
Delaware,November,723.89,27148.61,14225.22
Florida,March,20.9,915.77,0
Florida,April,644,20866.13,0
Florida,May,1993.45,43522.81,0
Florida,June,3078.97,85604.23,0
Florida,July,4919.97,309311.52,0
Florida,August,9414.03,556725.03,0
Florida,September,13017.73,662531.93,0
Florida,October,15897.06,741519.42,0
Florida,November,17441,840808.67,0
Georgia,March,32.74,746.86,0
Georgia,April,591.53,15410.13,0
Georgia,May,1589.97,37203.26,0
Georgia,June,2476.73,60743.03,0
Georgia,July,3170.48,132730.1,0
Georgia,August,4689,234214.23,0
Georgia,September,6420.7,297509.23,0
Georgia,October,7541.71,338364.65,0
Georgia,November,8689.67,376398.72,0
Hawaii,March,0,49.92,49
