State,Month,Quarter,Unemploy_rate ,,,,
Alabama,January,1,2.7,,,,
Alabama,February,1,2.7,,,,
Alabama,March,1,3.5,,,,
Alabama,April,2,12.9,,,,
Alabama,May,2,9.6,,,,
Alabama,June,2,7.5,,,,
Alabama,July,3,7.9,,,,
Alabama,August,3,5.6,,,,
Alabama,September,3,6.6,,,,
Alabama,October,4,5.8,,,,
Alaska,January,1,6,,,,
Alaska,February,1,5.8,,,,
Alaska,March,1,5.6,,,,
Alaska,April,2,12.9,,,,
Alaska,May,2,12.7,,,,
Alaska,June,2,12.4,,,,
Alaska,July,3,11.6,,,,
Alaska,August,3,7.4,,,,
Alaska,September,3,7.2,,,,
Alaska,October,4,5.9,,,,
Arizona ,January,1,4.5,,,,
Arizona ,February,1,4.5,,,,
Arizona ,March,1,5.5,,,,
Arizona ,April,2,12.6,,,,
Arizona ,May,2,9,,,,
Arizona ,June,2,10,,,,
Arizona ,July,3,10.6,,,,
Arizona ,August,3,5.9,,,,
Arizona ,September,3,6.7,,,,
Arizona ,October,4,8,,,,
Arkansas,January,1,3.5,,,,
Arkansas,February,1,3.9,,,,
Arkansas,March,1,4.8,,,,
Arkansas,April,2,10.2,,,,
Arkansas,May,2,9.6,,,,
Arkansas,June,2,8,,,,
Arkansas,July,3,7.1,,,,
Arkansas,August,3,7.4,,,,
Arkansas,September,3,7.3,,,,
Arkansas,October,4,6.2,,,,
California,January,1,3.9,,,,
California,February,1,2.5,,,,
California,March,1,5.3,,,,
California,April,2,15.5,,,,
California,May,2,16.4,,,,
California,June,2,14.9,,,,
California,July,3,13.3,,,,
California,August,3,11.4,,,,
California,September,3,11,,,,
California,October,4,9.3,,,,
Colorado ,January,1,2.5,,,,
Colorado ,February,1,2.8,,,,
Colorado ,March,1,4.5,,,,
Colorado ,April,2,11.3,,,,
Colorado ,May,2,10.2,,,,
Colorado ,June,2,10.5,,,,
Colorado ,July,3,7.4,,,,
Colorado ,August,3,6.7,,,,
Colorado ,September,3,6.4,,,,
Colorado ,October,4,6.4,,,,
Connecticut ,January,1,3.7,,,,
Connecticut ,February,1,3.9,,,,
Connecticut ,March,1,3.7,,,,
Connecticut ,April,2,7.9,,,,
Connecticut ,May,2,9.6,,,,
Connecticut ,June,2,9.8,,,,
Connecticut ,July,3,10.2,,,,
Connecticut ,August,3,8.1,,,,
Connecticut ,September,3,7.8,,,,
Connecticut ,October,4,6.1,,,,
Delaware,January,1,4,,,,
Delaware,February,1,5.2,,,,
Delaware,March,1,5.1,,,,
Delaware,April,2,14.3,,,,
Delaware,May,2,15.9,,,,
Delaware,June,2,12.5,,,,
Delaware,July,3,10.4,,,,
Delaware,August,3,8.9,,,,
Delaware,September,3,8.2,,,,
Delaware,October,4,5.6,,,,
District of Columbia,January,1,5.2,,,,
District of Columbia,February,1,2.8,,,,
District of Columbia,March,1,6,,,,
District of Columbia,April,2,11.1,,,,
District of Columbia,May,2,8.8,,,,
District of Columbia,June,2,8.6,,,,
District of Columbia,July,3,8.4,,,,
