state,Year,dem_votes,rep_votes,other_votes
Arizona,2020,1672143,1661686,51465
Arizona,2016,936250,1021154,105406
Florida,2020,5297045,5668731,101680
Florida,2016,4485745,4605515,295490
Georgia,2020,2474507,2461837,62138
Georgia,2016,1837300,2068623,123641
Iowa,2020,759061,897672,34138
Iowa,2016,650790,798923,93167
Michigan,2020,2804040,2649852,85410
Michigan,2016,2268193,2279805,242919
Minnesota,2020,1717049,1484048,76023
Minnesota,2016,1366676,1322891,226837
Nevada,2020,703486,669890,32000
Nevada,2016,537753,511319,73918
New Hampshire,2020,424921,365654,15607
New Hampshire,2016,348521,345789,37919
North Carolina,2020,2684292,2758775,81737
North Carolina,2016,2162074,2339603,127794
Ohio,2020,2679165,3154834,88203
Ohio,2016,2317001,2771984,236410
Pennsylvania,2020,3458229,3377674,79380
Pennsylvania,2016,2844705,2912941,212461
Texas,2020,5259126,5890347,165583
Texas,2016,3867816,4681590,353831
Wisconsin,2020,1630619,1610073,56869
Wisconsin,2016,1382210,1409467,152943
Alabama,2020,849624,1441170,32488
Alabama,2016,718084,1306925,53156
Alaska,2020,153502,189543,15757
Alaska,2016,93007,130415,23166
Arkansas,2020,423932,760647,34490
Arkansas,2016,378729,677904,65051
California,2020,11077502,5977598,378259
California,2016,7362490,3916209,675618
Colorado,2020,1804104,1364467,87938
Colorado,2016,1208095,1136354,213956
Connecticut,2020,1080680,715291,28302
Connecticut,2016,884432,668266,70844
Delaware,2020,296268,200603,7475
Delaware,2016,235581,185103,20851
District of Columbia,2020,317323,18586,8447
District of Columbia,2016,260223,11553,8496
Hawaii,2020,366130,196864,11475
Hawaii,2016,251853,121648,30653
Idaho,2020,287021,554119,25962
Idaho,2016,189677,407199,91359
Illinois,2020,3468923,2443598,117730
Illinois,2016,2977498,2118179,278603
Indiana,2020,1242413,1729516,61183
Indiana,2016,1031953,1556220,133856
Kansas,2020,551144,752903,29466
Kansas,2016,414788,656009,76346
Kentucky,2020,772474,1326646,37648
Kentucky,2016,628834,1202942,91570
Louisiana,2020,856034,1255776,36252
Louisiana,2016,779535,1178004,70192
Maine,2020,435072,360737,23652
Maine,2016,354873,334838,51839
Maryland,2020,1985023,976414,75593
Maryland,2016,1497951,873646,102946
Massachusetts,2020,2382202,1167202,81998
Massachusetts,2016,1964768,1083069,183694
Mississippi,2020,539494,756731,16474
Mississippi,2016,462001,678457,22529
Missouri,2020,1252873,1718245,57737
Missouri,2016,1054889,1585753,134456
Montana,2020,244783,343598,15251
Montana,2016,174521,274120,36468
Nebraska,2020,374583,556846,20283
Nebraska,2016,273858,485819,45961
New Jersey,2020,2608258,1883242,68730
New Jersey,2016,2021756,1535513,117624
New Mexico,2020,501614,401894,20457
New Mexico,2016,380724,315875,92242
New York,2020,4268043,3042101,106984
New York,2016,4143874,2640570,261731
North Dakota,2020,114902,235595,11322
North Dakota,2016,93526,216133,27309
Oklahoma,2020,503890,1020280,36529
Oklahoma,2016,419788,947934,83334
Oregon,2020,1340383,958448,74852
Oregon,2016,934631,742506,131438
Rhode Island,2020,307486,199922,10349
Rhode Island,2016,249902,179421,21464
South Carolina,2020,1091541,1385103,36685
South Carolina,2016,849469,1143611,91364
South Dakota,2020,150471,261043,11095
South Dakota,2016,117442,227701,24904
Tennessee,2020,1139376,1849820,60316
Tennessee,2016,867110,1517402,100179
Utah,2020,560282,865140,62867
Utah,2016,274188,452086,258683
Vermont,2020,242820,112704,11904
Vermont,2016,178179,95053,18181
Virginia,2020,2413568,1962430,84526
Virginia,2016,1916845,1731156,196786
Washington,2020,2369612,1584651,133339
Washington,2016,1610524,1129120,218298
West Virginia,2020,235984,545382,13286
West Virginia,2016,187457,486198,34571
Wyoming,2020,73491,193559,9715
Wyoming,2016,55949,174248,18545
