state,month,death,positive,recovered
AK,3,0.5,52.6,
AK,4,7.666666666666667,276.3333333333333,143.125
AK,5,9.838709677419354,395.741935483871,330.258064516129
AK,6,11.7,684.0666666666667,438.9
AK,7,18.0,1798.4193548387098,683.3548387096774
AK,8,29.419354838709676,4230.290322580645,1522.1612903225807
AK,9,45.3,6508.1,2671.4
AK,10,65.06451612903226,10957.838709677419,6213.935483870968
AK,11,90.5,19660.777777777777,7146.722222222223
AL,3,1.7647058823529411,225.6,
AL,4,131.2,4096.733333333334,
AL,5,462.61290322580646,11858.129032258064,8512.6
AL,6,789.8333333333334,26666.233333333334,14563.7
AL,7,1239.8709677419354,61881.8064516129,27883.8064516129
AL,8,1898.6129032258063,108168.06451612903,41791.0
AL,9,2380.6,140909.93333333332,57810.666666666664
AL,10,2743.2580645161293,171984.64516129033,72944.16129032258
AL,11,3134.4444444444443,207231.66666666666,85280.5
AR,3,3.4,144.57692307692307,22.714285714285715
AR,4,32.96666666666667,1746.4,561.4666666666667
AR,5,100.51612903225806,4806.903225806452,3407.4193548387098
AR,6,195.03333333333333,13289.933333333332,8979.1
AR,7,348.19354838709677,31220.25806451613,24409.677419354837
AR,8,614.5806451612904,52661.967741935485,45753.22580645161
AR,9,1080.0333333333333,72414.33333333333,64470.63333333333
AR,10,1654.1612903225807,97552.74193548386,87510.48387096774
AR,11,2105.5,124346.55555555556,109006.94444444444
AS,3,0.0,0.0,
AS,4,0.0,0.0,
AS,5,0.0,0.0,
AS,6,0.0,0.0,
AS,7,0.0,0.0,
AS,8,0.0,0.0,
AS,9,0.0,0.0,
AS,10,0.0,0.0,
AS,11,0.0,0.0,
AZ,3,5.947368421052632,254.75,
AZ,4,159.73333333333332,4288.466666666666,1053.2941176470588
AZ,5,640.6129032258065,13455.129032258064,3183.3870967741937
AZ,6,1243.2666666666667,43075.26666666667,6741.966666666666
AZ,7,2568.6129032258063,132356.2258064516,16477.870967741936
AZ,8,4449.741935483871,191941.87096774194,27257.774193548386
AZ,9,5378.8,210657.0,33128.73333333333
AZ,10,5805.548387096775,230358.32258064515,38064.645161290326
AZ,11,6178.388888888889,262932.0,43717.77777777778
CA,3,45.5,1616.5,
CA,4,956.4,26914.866666666665,
CA,5,3152.8709677419356,77753.51612903226,
CA,6,5131.466666666666,158833.86666666667,
CA,7,7398.774193548387,360201.67741935485,
CA,8,11149.935483870968,609507.6129032258,
CA,9,14512.3,761899.6333333333,
CA,10,16798.774193548386,863849.7741935484,
CA,11,18002.555555555555,978649.7777777778,
CO,3,17.263157894736842,666.3214285714286,
CO,4,390.46666666666664,8810.433333333332,2262.4285714285716
CO,5,1001.8709677419355,21363.387096774193,3309.2903225806454
CO,6,1373.6666666666667,29562.233333333334,4234.833333333333
CO,7,1605.1935483870968,39151.645161290326,4908.0
CO,8,1777.4193548387098,52817.25806451613,5685.129032258064
CO,9,1902.3,63216.13333333333,6225.433333333333
CO,10,2033.483870967742,85088.41935483871,7138.064516129032
CO,11,2199.4444444444443,139718.55555555556,8941.111111111111
CT,3,21.076923076923077,572.76,
CT,4,986.2333333333333,15477.4,
CT,5,3253.4193548387098,36225.290322580644,5979.0
CT,6,4179.933333333333,44955.333333333336,7667.0
CT,7,4379.419354838709,47860.48387096774,8389.677419354839
CT,8,4451.612903225807,51143.93548387097,8801.967741935483
CT,9,4485.533333333334,55044.13333333333,9162.3
CT,10,4551.741935483871,63266.83870967742,9615.064516129032
CT,11,4697.555555555556,82891.88888888889,9800.0
DC,3,3.230769230769231,107.0,69.0
DC,4,88.33333333333333,2365.0,493.56666666666666
DC,5,364.2258064516129,6934.258064516129,943.4516129032259
DC,6,514.4333333333333,9727.6,1162.1
DC,7,571.9677419354839,11143.09677419355,3777.516129032258
DC,8,596.6129032258065,13156.41935483871,10489.677419354839
DC,9,617.2,14710.033333333333,11670.566666666668
DC,10,638.2258064516129,16247.032258064517,12748.129032258064
DC,11,654.6111111111111,18263.277777777777,13920.888888888889
DE,3,2.2083333333333335,70.57692307692308,10.333333333333334
DE,4,84.56666666666666,2217.266666666667,440.03333333333336
DE,5,364.83870967741933,7400.451612903225,3379.967741935484
DE,6,496.06666666666666,10420.033333333333,6161.666666666667
DE,7,534.0,13228.806451612903,7344.741935483871
DE,8,594.7741935483871,16240.0,8711.09677419355
DE,9,619.0666666666667,19068.066666666666,10124.166666666666
DE,10,665.0645161290323,22792.1935483871,11865.677419354839
DE,11,723.8888888888889,27148.61111111111,14225.222222222223
FL,1,,0.0,
FL,2,,0.0,
FL,3,20.904761904761905,915.7741935483871,
FL,4,644.0,20866.133333333335,
FL,5,1993.4516129032259,43522.8064516129,
FL,6,3078.9666666666667,85604.23333333334,
FL,7,4919.967741935484,309311.51612903224,
FL,8,9414.032258064517,556725.0322580645,
FL,9,13017.733333333334,662531.9333333333,
FL,10,15897.064516129032,741519.4193548387,
FL,11,17441.0,840808.6666666666,
GA,3,32.73684210526316,746.8571428571429,
GA,4,591.5333333333333,15410.133333333333,
GA,5,1589.967741935484,37203.25806451613,
GA,6,2476.733333333333,60743.03333333333,
GA,7,3170.483870967742,132730.09677419355,
GA,8,4689.0,234214.2258064516,
GA,9,6420.7,297509.23333333334,
GA,10,7541.709677419355,338364.6451612903,
GA,11,8689.666666666666,376398.72222222225,
GU,3,1.1,32.25,7.0
GU,4,4.6,126.63333333333334,77.46666666666667
GU,5,5.0,157.93548387096774,129.6451612903226
GU,6,5.0,203.43333333333334,168.03333333333333
GU,7,5.0,317.19354838709677,223.6451612903226
GU,8,6.290322580645161,684.0967741935484,373.51612903225805
GU,9,28.933333333333334,1983.4666666666667,1255.5
GU,10,64.06451612903226,3560.2258064516127,2267.483870967742
GU,11,89.61111111111111,5501.222222222223,3591.6111111111113
HI,3,,49.92,49.0
HI,4,8.666666666666666,490.4,306.8333333333333
HI,5,16.903225806451612,635.7096774193549,570.258064516129
HI,6,17.1,747.1333333333333,644.3333333333334
HI,7,22.06451612903226,1315.4193548387098,963.6129032258065
HI,8,40.38709677419355,4919.258064516129,1828.967741935484
HI,9,103.6,10813.7,4609.5
HI,10,181.58064516129033,13945.774193548386,10943.774193548386
HI,11,220.66666666666666,16162.555555555555,11933.888888888889
IA,3,3.5714285714285716,105.65384615384616,20.166666666666668
IA,4,65.2,2787.3,1022.0
IA,5,345.61290322580646,14193.774193548386,6956.5161290322585
IA,6,651.0,24271.5,15039.666666666666
IA,7,778.0322580645161,36974.51612903226,27499.1935483871
IA,8,985.3548387096774,52764.87096774193,40265.1935483871
IA,9,1235.3666666666666,74560.73333333334,55972.63333333333
IA,10,1525.0,100492.25806451614,80746.64516129032
IA,11,1880.0,146948.33333333334,102404.5
ID,3,2.5,73.32,
ID,4,34.766666666666666,1474.1666666666667,781.5714285714286
ID,5,72.41935483870968,2391.8064516129034,1630.0645161290322
ID,6,86.8,3773.233333333333,2974.1
ID,7,117.74193548387096,12721.935483870968,4110.225806451613
